sezon,data,godz,cena_pln_mwh
Zima,2025-01-10,8,560.09
Zima,2025-01-10,9,551.63
Zima,2025-01-10,10,511.42
Zima,2025-01-10,11,471.81
Zima,2025-01-10,12,457.14
Zima,2025-01-10,13,459.98
Zima,2025-01-10,14,478.42
Zima,2025-01-10,15,522.55
Zima,2025-01-10,16,571.86
Zima,2025-01-10,17,605.04
Zima,2025-01-10,18,597.32
Zima,2025-01-10,19,576.32
Zima,2025-01-10,20,533.46
Zima,2025-01-10,21,482.23
Zima,2025-01-10,22,476.25
Zima,2025-01-10,23,421.61
Zima,2025-01-11,0,418.23
Zima,2025-01-11,1,380.25
Zima,2025-01-11,2,354.99
Zima,2025-01-11,3,321.03
Zima,2025-01-11,4,317.99
Zima,2025-01-11,5,315.93
Zima,2025-01-11,6,338.2
Zima,2025-01-11,7,397.26
Zima,2025-01-11,8,446.67
Zima,2025-01-11,9,451.12
Zima,2025-01-11,10,443.41
Zima,2025-01-11,11,426.48
Zima,2025-01-11,12,410.6
Zima,2025-01-11,13,409.18
Zima,2025-01-11,14,422.6
Zima,2025-01-11,15,448.71
Zima,2025-01-11,16,477.38
Zima,2025-01-11,17,491.19
Zima,2025-01-11,18,495.5
Zima,2025-01-11,19,489.53
Zima,2025-01-11,20,455.83
Zima,2025-01-11,21,440.35
Zima,2025-01-11,22,422.59
Zima,2025-01-11,23,407.98
Zima,2025-01-12,0,375.04
Zima,2025-01-12,1,366.5
Zima,2025-01-12,2,354.87
Zima,2025-01-12,3,335.0
Zima,2025-01-12,4,339.26
Zima,2025-01-12,5,332.74
Zima,2025-01-12,6,343.13
Zima,2025-01-12,7,386.04
Zima,2025-01-12,8,423.23
Zima,2025-01-12,9,457.48
Zima,2025-01-12,10,453.83
Zima,2025-01-12,11,426.19
Zima,2025-01-12,12,423.97
Zima,2025-01-12,13,427.76
Zima,2025-01-12,14,449.52
Zima,2025-01-12,15,486.67
Zima,2025-01-12,16,532.54
Zima,2025-01-12,17,559.23
Zima,2025-01-12,18,568.54
Zima,2025-01-12,19,563.45
Zima,2025-01-12,20,544.61
Zima,2025-01-12,21,517.3
Zima,2025-01-12,22,498.57
Zima,2025-01-12,23,467.53
Zima,2025-01-13,0,459.59
Zima,2025-01-13,1,433.46
Zima,2025-01-13,2,431.94
Zima,2025-01-13,3,423.47
Zima,2025-01-13,4,437.47
Zima,2025-01-13,5,476.76
Zima,2025-01-13,6,620.6
Zima,2025-01-13,7,784.78
Zima,2025-01-13,8,911.96
Zima,2025-01-13,9,770.34
Zima,2025-01-13,10,642.65
Zima,2025-01-13,11,588.54
Zima,2025-01-13,12,561.89
Zima,2025-01-13,13,594.28
Zima,2025-01-13,14,623.67
Zima,2025-01-13,15,657.08
Zima,2025-01-13,16,648.39
Zima,2025-01-13,17,659.75
Zima,2025-01-13,18,642.38
Zima,2025-01-13,19,620.01
Zima,2025-01-13,20,561.58
Zima,2025-01-13,21,497.51
Zima,2025-01-13,22,482.34
Zima,2025-01-13,23,437.43
Zima,2025-01-14,0,454.77
Zima,2025-01-14,1,435.47
Zima,2025-01-14,2,416.88
Zima,2025-01-14,3,411.62
Zima,2025-01-14,4,420.48
Zima,2025-01-14,5,449.9
Zima,2025-01-14,6,521.54
Zima,2025-01-14,7,623.14
Zima,2025-01-14,8,673.66
Zima,2025-01-14,9,589.54
Zima,2025-01-14,10,512.11
Zima,2025-01-14,11,487.78
Zima,2025-01-14,12,469.85
Zima,2025-01-14,13,489.91
Zima,2025-01-14,14,501.32
Zima,2025-01-14,15,527.83
Zima,2025-01-14,16,573.53
Zima,2025-01-14,17,630.23
Zima,2025-01-14,18,638.92
Zima,2025-01-14,19,602.29
Zima,2025-01-14,20,530.36
Zima,2025-01-14,21,472.92
Zima,2025-01-14,22,478.26
Zima,2025-01-14,23,468.72
